# Scan of Total Energy
# X-Axis:  Scan Step Number
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        1.0000000000     -396.7030430000
        2.0000000000     -396.7023750000
        3.0000000000     -396.6949320000
        4.0000000000     -396.6836280000
        5.0000000000     -396.6701170000
        6.0000000000     -396.6553530000
        7.0000000000     -396.6399310000
        8.0000000000     -396.6242670000
        9.0000000000     -396.6086740000
       10.0000000000     -396.5933900000
       11.0000000000     -396.5785910000
       12.0000000000     -396.5782820000
       13.0000000000     -396.5930600000
       14.0000000000     -396.6083200000
       15.0000000000     -396.6238860000
       16.0000000000     -396.6395180000
       17.0000000000     -396.6549060000
       18.0000000000     -396.6696320000
       19.0000000000     -396.6831030000
       20.0000000000     -396.6943640000
       21.0000000000     -396.7017600000
       22.0000000000     -396.7023750000
       23.0000000000     -396.6949320000
       24.0000000000     -396.6943640000
       25.0000000000     -396.6870090000
       26.0000000000     -396.6757840000
       27.0000000000     -396.6623480000
       28.0000000000     -396.6476530000
       29.0000000000     -396.6322960000
       30.0000000000     -396.6166900000
       31.0000000000     -396.6011480000
       32.0000000000     -396.5859090000
       33.0000000000     -396.5711490000
       34.0000000000     -396.5601340000
       35.0000000000     -396.5748760000
       36.0000000000     -396.5900960000
       37.0000000000     -396.6056150000
       38.0000000000     -396.6211950000
       39.0000000000     -396.6365240000
       40.0000000000     -396.6511880000
       41.0000000000     -396.6645930000
       42.0000000000     -396.6757840000
       43.0000000000     -396.6831030000
       44.0000000000     -396.6836280000
       45.0000000000     -396.6701170000
       46.0000000000     -396.6696330000
       47.0000000000     -396.6623480000
       48.0000000000     -396.6511880000
       49.0000000000     -396.6378140000
       50.0000000000     -396.6231800000
       51.0000000000     -396.6078790000
       52.0000000000     -396.5923250000
       53.0000000000     -396.5768280000
       54.0000000000     -396.5616280000
       55.0000000000     -396.5469040000
       56.0000000000     -396.5324130000
       57.0000000000     -396.5471200000
       58.0000000000     -396.5623000000
       59.0000000000     -396.5777730000
       60.0000000000     -396.5933020000
       61.0000000000     -396.6085750000
       62.0000000000     -396.6231800000
       63.0000000000     -396.6365240000
       64.0000000000     -396.6476530000
       65.0000000000     -396.6549060000
       66.0000000000     -396.6553530000
       67.0000000000     -396.6399310000
       68.0000000000     -396.6395180000
       69.0000000000     -396.6322960000
       70.0000000000     -396.6211950000
       71.0000000000     -396.6078790000
       72.0000000000     -396.5933020000
       73.0000000000     -396.5780550000
       74.0000000000     -396.5625510000
       75.0000000000     -396.5471000000
       76.0000000000     -396.5319410000
       77.0000000000     -396.5172500000
       78.0000000000     -396.5018240000
       79.0000000000     -396.5164990000
       80.0000000000     -396.5316410000
       81.0000000000     -396.5470710000
       82.0000000000     -396.5625510000
       83.0000000000     -396.5777730000
       84.0000000000     -396.5923240000
       85.0000000000     -396.6056150000
       86.0000000000     -396.6166900000
       87.0000000000     -396.6238860000
       88.0000000000     -396.6242670000
       89.0000000000     -396.6086740000
       90.0000000000     -396.6083200000
       91.0000000000     -396.6011480000
       92.0000000000     -396.5900960000
       93.0000000000     -396.5768280000
       94.0000000000     -396.5623000000
       95.0000000000     -396.5471010000
       96.0000000000     -396.5316410000
       97.0000000000     -396.5162290000
       98.0000000000     -396.5011030000
       99.0000000000     -396.4864410000
      100.0000000000     -396.4713400000
      101.0000000000     -396.4859910000
      102.0000000000     -396.5011030000
      103.0000000000     -396.5164990000
      104.0000000000     -396.5319410000
      105.0000000000     -396.5471210000
      106.0000000000     -396.5616290000
      107.0000000000     -396.5748760000
      108.0000000000     -396.5859080000
      109.0000000000     -396.5930600000
      110.0000000000     -396.5933900000
      111.0000000000     -396.5785910000
      112.0000000000     -396.5782820000
      113.0000000000     -396.5711490000
      114.0000000000     -396.5601340000
      115.0000000000     -396.5469040000
      116.0000000000     -396.5324130000
      117.0000000000     -396.5172500000
      118.0000000000     -396.5018230000
      119.0000000000     -396.4864410000
      120.0000000000     -396.4713400000
      121.0000000000     -396.4566978144
