Energy (Hartree)	Bond Length (Å)	Angle (°)
-396.454204018	1.0	80.0
-396.524371614	1.0	80.0
-396.559780077	1.0	80.0
-396.574194802	1.0	80.0
-396.576122189	1.1	80.0
-396.570722132	1.0	80.0
-396.561028411	1.2	80.0
-396.548782719	1.0	80.0
-396.535005156	1.3	80.0
-396.520344493	1.0	80.0
-396.505260087	1.4	80.0
-396.574570157	1.0	80.0
-396.589636156	1.5	80.0
-396.60428616	1.0	80.0
-396.618064658	1.6	80.0
-396.630327924	1.0	80.0
-396.640062682	1.7	80.0
-396.645535971	1.0	80.0
-396.643723222	1.8	80.0
-396.629471245	1.0	80.0
-396.594275865	1.9	80.0
-396.524371611	1.0	80.0
-396.559780073	2.0	80.0
-396.629471244	1.0	80.0
-396.664460042	2.0	80.0
-396.678525875	1.1	80.0
-396.6801832	1.9	80.0
-396.674589038	1.1	80.0
-396.664766246	1.8	80.0
-396.652443076	1.1	80.0
-396.638627239	1.7	80.0
-396.623957162	1.1	80.0
-396.608883749	1.6	80.0
-396.622103079	1.1	80.0
-396.637205086	1.5	80.0
-396.651918933	1.1	80.0
-396.665798232	1.4	80.0
-396.678209321	1.1	80.0
-396.688148453	1.3	80.0
-396.693888743	1.1	80.0
-396.692403733	1.2	80.0
-396.678525874	1.1	80.0
-396.643723219	1.1	80.0
-396.574194797	1.1	80.0
-396.576122183	1.0	80.0
-396.645535968	1.1	80.0
-396.680183198	1.0	80.0
-396.693888743	1.2	80.0
-396.695204885	1.1	80.0
-396.689313254	1.2	80.0
-396.679247395	1.2	80.0
-396.666735481	1.2	80.0
-396.652778951	1.3	80.0
-396.638007634	1.2	80.0
-396.622863933	1.4	80.0
-396.616422837	1.2	80.0
-396.631612279	1.5	80.0
-396.646444324	1.2	80.0
-396.660479905	1.6	80.0
-396.673092069	1.2	80.0
-396.683280287	1.7	80.0
-396.689313254	1.2	80.0
-396.688148452	1.8	80.0
-396.674589036	1.2	80.0
-396.640062678	1.9	80.0
-396.570722126	1.2	80.0
-396.561028404	2.0	80.0
-396.63032792	1.2	80.0
-396.664766244	2.0	80.0
-396.67820932	1.3	80.0
-396.679247395	1.9	80.0
-396.673092069	1.3	80.0
-396.662795486	1.8	80.0
-396.650093129	1.3	80.0
-396.635985601	1.7	80.0
-396.621097738	1.3	80.0
-396.605865849	1.6	80.0
-396.592946215	1.3	80.0
-396.608213175	1.5	80.0
-396.623147513	1.3	80.0
-396.637315249	1.4	80.0
-396.650093129	1.3	80.0
-396.660479904	1.3	80.0
-396.66673548	1.3	80.0
-396.665798231	1.2	80.0
-396.652443074	1.3	80.0
-396.618064654	1.1	80.0
-396.548782712	1.3	80.0
-396.53500515	1.0	80.0
-396.604286156	1.3	80.0
-396.638627237	1.0	80.0
-396.651918932	1.4	80.0
-396.65277895	1.1	80.0
-396.646444324	1.4	80.0
-396.635985601	1.2	80.0
-396.623147513	1.4	80.0
-396.608932241	1.3	80.0
-396.59396179	1.4	80.0
-396.578668132	1.4	80.0
-396.563651679	1.4	80.0
-396.578964557	1.5	80.0
-396.59396179	1.4	80.0
-396.608213175	1.6	80.0
-396.621097738	1.4	80.0
-396.631612279	1.7	80.0
-396.638007633	1.4	80.0
-396.637205085	1.8	80.0
-396.62395716	1.4	80.0
-396.589636152	1.9	80.0
-396.520344486	1.4	80.0
-396.50526008	2.0	80.0
-396.574570153	1.4	80.0
-396.608883747	2.0	80.0
-396.622103077	1.5	80.0
-396.622863932	1.9	80.0
-396.616422837	1.5	80.0
-396.605865849	1.8	80.0
-396.592946215	1.5	80.0
-396.578668132	1.7	80.0
-396.563651679	1.5	80.0
-396.548325495	1.6	80.0
-396.548360086	1.5	80.0
-396.563688912	1.5	80.1
-396.578708148	1.5	80.1
-396.592989169	1.4	80.1
-396.605911883	1.5	80.1
-396.616472031	1.3	80.1
-396.62291624	1.5	80.1
-396.622158283	1.2	80.1
-396.608941472	1.5	80.1
-396.574629926	1.1	80.1
-396.505321432	1.5	80.1
-396.520414412	1.0	80.1
-396.58970412	1.5	80.1
-396.624022576	1.0	80.1
-396.637267373	1.6	80.1
-396.638066343	1.1	80.1
-396.631667159	1.6	80.1
-396.621148746	1.2	80.1
-396.608260423	1.6	80.1
-396.594005479	1.3	80.1
-396.579004909	1.6	80.1
-396.563688912	1.4	80.1
-396.578708148	1.6	80.1
-396.594005479	1.5	80.1
-396.608979905	1.6	80.1
-396.623199454	1.6	80.1
-396.636042082	1.6	80.1
-396.646505502	1.7	80.1
-396.652844789	1.6	80.1
-396.651989148	1.8	80.1
-396.638701305	1.6	80.1
-396.60436339	1.9	80.1
-396.535084816	1.6	80.1
-396.548873291	2.0	80.1
-396.618152216	1.6	80.1
-396.652526737	2.0	80.1
-396.665877197	1.7	80.1
-396.666809154	1.9	80.1
-396.660547974	1.7	80.1
-396.650155573	1.8	80.1
-396.637372272	1.7	80.1
-396.623199454	1.7	80.1
-396.608260423	1.7	80.1
-396.592989169	1.6	80.1
-396.605911884	1.7	80.1
-396.621148746	1.5	80.1
-396.636042082	1.7	80.1
-396.650155574	1.4	80.1
-396.662864313	1.7	80.1
-396.673167541	1.3	80.1
-396.679329514	1.7	80.1
-396.678297759	1.2	80.1
-396.664860347	1.7	80.1
-396.630426783	1.1	80.1
-396.561131	1.7	80.1
-396.570837677	1.0	80.1
-396.640173623	1.7	80.1
-396.674694217	1.0	80.1
-396.68824688	1.8	80.1
-396.689404233	1.1	80.1
-396.683363491	1.8	80.1
-396.673167541	1.2	80.1
-396.660547974	1.8	80.1
-396.646505502	1.3	80.1
-396.631667159	1.8	80.1
-396.616472031	1.4	80.1
-396.622916241	1.8	80.1
-396.638066344	1.5	80.1
-396.65284479	1.8	80.1
-396.666809154	1.6	80.1
-396.679329515	1.8	80.1
-396.689404233	1.7	80.1
-396.695304826	1.8	80.1
-396.693997352	1.8	80.1
-396.680299772	1.8	80.1
-396.64565947	1.9	80.1
-396.576251356	1.8	80.1
-396.57433788	2.0	80.1
-396.643859347	1.8	80.1
-396.678653738	2.0	80.1
-396.692522299	1.9	80.1
-396.693997352	1.9	80.1
-396.688246881	1.9	80.1
-396.67829776	1.8	80.1
-396.665877198	1.9	80.1
-396.651989149	1.7	80.1
-396.637267375	1.9	80.1
-396.622158284	1.6	80.1
-396.608941474	1.9	80.1
-396.624022578	1.5	80.1
-396.638701307	1.9	80.1
-396.652526739	1.4	80.1
-396.664860349	1.9	80.1
-396.674694218	1.3	80.1
-396.680299774	1.9	80.1
-396.678653739	1.2	80.1
-396.664598641	1.9	80.1
-396.62961961	1.1	80.1
-396.559936911	1.9	80.1
-396.524541595	1.0	80.1
-396.594435644	1.9	80.1
-396.629619612	1.0	80.1
-396.643859349	2.0	80.1
-396.645659473	1.1	80.1
-396.640173627	2.0	80.1
-396.630426787	1.2	80.1
-396.61815222	2.0	80.1
-396.604363394	1.3	80.1
-396.589704124	2.0	80.1
-396.57462993	1.4	80.1
-396.505321439	2.0	80.1
-396.520414419	1.5	80.1
-396.535084822	2.0	80.1
-396.548873298	1.6	80.1
-396.561131007	2.0	80.1
-396.570837684	1.7	80.1
-396.576251362	2.0	80.1
-396.574337885	1.8	80.1
-396.559936916	2.0	80.1
-396.524541598	1.9	80.1
-396.454386118	2.0	80.1
-396.454567336	2.0	80.1
-396.524710728	2.0	80.2
-396.560092928	2.0	80.2
-396.574480171	2.0	80.2
-396.576379768	1.9	80.2
-396.570952504	2.0	80.2
-396.561232911	1.8	80.2
-396.548963229	2.0	80.2
-396.535163887	1.7	80.2
-396.520483789	2.0	80.2
-396.505382281	1.6	80.2
-396.5746892	2.0	80.2
-396.589771543	1.5	80.2
-396.604440032	2.0	80.2
-396.618239141	1.4	80.2
-396.630524966	2.0	80.2
-396.64028385	1.3	80.2
-396.64578222	2.0	80.2
-396.643994693	1.2	80.2
-396.629767169	2.0	80.2
-396.59459459	1.1	80.2
-396.524710725	2.0	80.2
-396.560092924	1.0	80.2
-396.629767168	2.0	80.2
-396.664736452	1.0	80.2
-396.678780838	1.9	80.2
-396.68041561	1.1	80.2
-396.674798693	1.9	80.2
-396.664953782	1.2	80.2
-396.652609774	1.9	80.2
-396.638774792	1.3	80.2
-396.624087456	1.9	80.2
-396.608998706	1.4	80.2
-396.622213009	1.9	80.2
-396.637329139	1.5	80.2
-396.652058798	1.9	80.2
-396.665955554	1.6	80.2
-396.678385549	1.9	80.2
-396.688344622	1.7	80.2
-396.694105243	1.9	80.2
-396.692640121	1.8	80.2
-396.678780837	1.9	80.2
-396.643994691	1.9	80.2
-396.574480166	1.9	80.2
-396.576379762	2.0	80.2
-396.645782217	1.9	80.2
-396.680415608	2.0	80.2
-396.694105243	1.8	80.2
-396.695404075	1.9	80.2
-396.68949455	1.8	80.2
-396.679411006	1.8	80.2
-396.66688224	1.8	80.2
-396.652910082	1.7	80.2
-396.638124549	1.8	80.2
-396.622968085	1.6	80.2
-396.616520782	1.8	80.2
-396.631721557	1.5	80.2
-396.646566158	1.8	80.2
-396.660615481	1.4	80.2
-396.673242413	1.8	80.2
-396.683446063	1.3	80.2
-396.68949455	1.8	80.2
-396.688344622	1.2	80.2
-396.674798691	1.8	80.2
-396.640283847	1.1	80.2
-396.570952498	1.8	80.2
-396.561232905	1.0	80.2
-396.630524962	1.8	80.2
-396.66495378	1.0	80.2
-396.678385548	1.7	80.2
-396.679411006	1.1	80.2
-396.673242413	1.7	80.2
-396.662932572	1.2	80.2
-396.650217486	1.7	80.2
-396.636098069	1.3	80.2
-396.621199296	1.7	80.2
-396.605957498	1.4	80.2
-396.593031728	1.7	80.2
-396.608307243	1.5	80.2
-396.62325093	1.7	80.2
-396.637428797	1.6	80.2
-396.650217486	1.7	80.2
-396.660615481	1.7	80.2
-396.666882239	1.7	80.2
-396.665955553	1.8	80.2
-396.652609772	1.7	80.2
-396.618239137	1.9	80.2
-396.548963223	1.7	80.2
-396.53516388	2.0	80.2
-396.604440029	1.7	80.2
-396.63877479	2.0	80.2
-396.652058796	1.6	80.2
-396.652910081	1.9	80.2
-396.646566157	1.6	80.2
-396.636098069	1.8	80.2
-396.62325093	1.6	80.2
-396.609027135	1.7	80.2
-396.594048767	1.6	80.2
-396.578747796	1.6	80.2
-396.563725803	1.6	80.2
-396.57904489	1.5	80.2
-396.594048767	1.6	80.2
-396.608307243	1.4	80.2
-396.621199296	1.6	80.2
-396.631721557	1.3	80.2
-396.638124548	1.6	80.2
-396.637329138	1.2	80.2
-396.624087454	1.6	80.2
-396.589771539	1.1	80.2
-396.520483783	1.6	80.2
-396.505382275	1.0	80.2
-396.574689196	1.6	80.2
-396.608998703	1.0	80.2
-396.622213007	1.5	80.2
-396.622968084	1.1	80.2
-396.616520782	1.5	80.2
-396.605957498	1.2	80.2
-396.593031728	1.5	80.2
-396.578747796	1.3	80.2
-396.563725803	1.5	80.2
-396.548394364	1.4	80.2
-396.548428325	1.5	80.2
-396.563762352	1.5	80.3
-396.578787075	1.5	80.3
-396.593073892	1.6	80.3
-396.606002691	1.5	80.3
-396.61656909	1.7	80.3
-396.623019465	1.5	80.3
-396.622267252	1.8	80.3
-396.609055441	1.5	80.3
-396.574747961	1.9	80.3
-396.505442608	1.5	80.3
-396.520552599	2.0	80.3
-396.58983841	1.5	80.3
-396.624151794	2.0	80.3
-396.637390379	1.4	80.3
-396.638182248	1.9	80.3
-396.631775472	1.4	80.3
-396.621249388	1.8	80.3
-396.608353632	1.4	80.3
-396.594091655	1.7	80.3
-396.5790845	1.4	80.3
-396.563762352	1.6	80.3
-396.578787075	1.4	80.3
-396.594091655	1.5	80.3
-396.609073933	1.4	80.3
-396.623301941	1.4	80.3
-396.636153561	1.4	80.3
-396.64662629	1.3	80.3
-396.652974826	1.4	80.3
-396.652127878	1.2	80.3
-396.638847691	1.4	80.3
-396.604516072	1.1	80.3
-396.535242343	1.4	80.3
-396.549052507	1.0	80.3
-396.618325417	1.4	80.3
-396.65269218	1.0	80.3
-396.666033298	1.3	80.3
-396.666954736	1.1	80.3
-396.660682426	1.3	80.3
-396.650278866	1.2	80.3
-396.637484822	1.3	80.3
-396.623301941	1.3	80.3
-396.608353632	1.3	80.3
-396.593073892	1.4	80.3
-396.606002692	1.3	80.3
-396.621249389	1.5	80.3
-396.636153561	1.3	80.3
-396.650278866	1.6	80.3
-396.663000264	1.3	80.3
-396.673316685	1.7	80.3
-396.67949187	1.3	80.3
-396.678472685	1.8	80.3
-396.665046544	1.3	80.3
-396.630622459	1.9	80.3
-396.561334118	1.3	80.3
-396.571066588	2.0	80.3
-396.640393349	1.3	80.3
-396.674902459	2.0	80.3
-396.688441676	1.2	80.3
-396.689584204	1.9	80.3
-396.683528001	1.2	80.3
-396.673316685	1.8	80.3
-396.660682427	1.2	80.3
-396.646626291	1.7	80.3
-396.631775472	1.2	80.3
-396.61656909	1.6	80.3
-396.623019466	1.2	80.3
-396.638182249	1.5	80.3
-396.652974827	1.2	80.3
-396.666954736	1.4	80.3
-396.679491871	1.2	80.3
-396.689584205	1.3	80.3
-396.695502632	1.2	80.3
-396.694212416	1.2	80.3
-396.680530706	1.2	80.3
-396.645904209	1.1	80.3
-396.576507403	1.2	80.3
-396.574621655	1.0	80.3
-396.644129251	1.2	80.3
-396.67890717	1.0	80.3
-396.6927572	1.1	80.3
-396.694212417	1.1	80.3
-396.688441677	1.1	80.3
-396.678472686	1.2	80.3
-396.666033299	1.1	80.3
-396.652127879	1.3	80.3
-396.637390381	1.1	80.3
-396.622267253	1.4	80.3
-396.609055443	1.1	80.3
-396.624151796	1.5	80.3
-396.638847693	1.1	80.3
-396.652692182	1.6	80.3
-396.665046546	1.1	80.3
-396.674902461	1.7	80.3
-396.680530707	1.1	80.3
-396.678907171	1.8	80.3
-396.664873474	1.1	80.3
-396.629913916	1.9	80.3
-396.56024811	1.1	80.3
-396.524879002	2.0	80.3
-396.594752704	1.1	80.3
-396.629913918	2.0	80.3
-396.644129254	1.0	80.3
-396.645904213	1.9	80.3
-396.640393352	1.0	80.3
-396.630622462	1.8	80.3
-396.618325421	1.0	80.3
-396.604516076	1.7	80.3
-396.589838414	1.0	80.3
